Project ID,Project Name,Lattitude,Longitude,Budget,Time Elapsed Percent,Fund Spent Percent,Physical Progress Percent
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",16.5062,80.648,265.91,96.71,66.33,80.0
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,16.5062,80.648,824.28,95.87,69.51,89.7
701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,16.5062,80.648,347.15,99.91,54.58,96.0
706724,Guwahati Airport New Integrated Terminal Building Construction Project,26.1445,91.7362,2520.0,100.0,105.96,99.5
612183,Development of New Civil Enclave at Bihta,25.5941,85.1376,1413.0,69.53,1.1,4.15
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,25.5941,85.1376,911.66,89.1,46.75,71.1
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",25.5941,85.1376,1216.9,99.97,98.9,99.26
619054,Development of Keshod Airport.,23.2156,72.6369,363.1,71.95,29.92,46.69
701126,"Development of Dholera International Greenfield Airport , Gujarat",23.2156,72.6369,1551.0,97.9,62.31,88.0
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu. Jammu and",22.5937,78.9629,861.37,91.28,43.01,58.35
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,12.9716,77.5946,320.47,96.71,52.77,88.5
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,12.9716,77.5946,322.45,99.89,74.74,97.0
612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",8.5241,76.9366,484.57,88.1,50.05,65.8
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",34.1526,77.5771,640.0,100.0,80.09,88.0
706718,C/o NITB Imphal Airport,18.8943,85.7657,499.0,92.38,42.52,53.14
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Multi-States Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL (Karnataka,",21.102567,77.436867,500.48,99.93,79.88,80.0
